ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
280,-37.81383600004095,144.94229199974288,62.659,High,-37.814,144.942
32,-37.81344200000782,144.94172699995684,26.784,Medium,-37.813,144.942
40,-37.813460000022296,144.94173700057334,25.024,Medium,-37.813,144.942
462,-37.81409100003984,144.94275500001876,99.316,High,-37.814,144.943
550,-37.80229899976622,144.96595599992463,0.587,Low,-37.802,144.966
650,-37.80244200009809,144.966110000395,3.91,Low,-37.802,144.966
688,-37.80252499980698,144.9660820005226,8.7,Low,-37.803,144.966
1249,-37.8030489998468,144.9657909997538,5.67,Low,-37.803,144.966
1295,-37.80297999994688,144.9657000002687,2.346,Low,-37.803,144.966
1336,-37.80291700028189,144.96559900049772,0.293,Low,-37.803,144.966
1145,-37.803178999851525,144.96598599962175,1.662,Low,-37.803,144.966
1153,-37.80316599992095,144.96596500026232,1.76,Low,-37.803,144.966
1402,-37.80280300014426,144.96539300021465,3.128,Low,-37.803,144.965
1411,-37.80276800029976,144.96535300028077,6.158,Low,-37.803,144.965
2069,-37.81923300015367,144.95011199956625,10.264,Medium,-37.819,144.95
2497,-37.82107999999596,144.9517089999369,25.709,Medium,-37.821,144.952
2592,-37.81919299974323,144.9650490003794,30.499,High,-37.819,144.965
2767,-37.81924100032021,144.96456400046267,18.084,Medium,-37.819,144.965
3360,-37.819643000082976,144.9629169996569,13.49,Medium,-37.82,144.963
3818,-37.81838900001825,144.97367900022866,9.189,Low,-37.818,144.974
3786,-37.81838300028568,144.97379699947874,18.475,Medium,-37.818,144.974
4206,-37.81846600021888,144.9719540002558,6.452,Low,-37.818,144.972
4252,-37.818474000101816,144.97177100011086,6.256,Low,-37.818,144.972
4454,-37.8185040001462,144.97109999995052,17.595,Medium,-37.819,144.971
4643,-37.81849700013838,144.97094700016362,0.587,Low,-37.818,144.971
4806,-37.818550000094135,144.97159100052022,9.482,Low,-37.819,144.972
5297,-37.81887099976659,144.97316499969287,11.437,Medium,-37.819,144.973
5149,-37.818724999949545,144.97271000030815,10.948,Medium,-37.819,144.973
5420,-37.819056999990096,144.9734649996873,24.145,Medium,-37.819,144.973
5572,-37.81927999955387,144.97392799975185,26.197,Medium,-37.819,144.974
5628,-37.81935999983794,144.97406799963338,0.098,Low,-37.819,144.974
5853,-37.81979000007859,144.97469000027078,9.677,Low,-37.82,144.975
5559,-37.81926200029553,144.97388500031744,6.354,Low,-37.819,144.974
5812,-37.81969599972146,144.974571000626,0.587,Low,-37.82,144.975
6133,-37.82039600019073,144.97535700037514,11.144,Medium,-37.82,144.975
6142,-37.82040699985125,144.97536800001942,5.181,Low,-37.82,144.975
6063,-37.82026299991494,144.97520900052186,0.196,Low,-37.82,144.975
6289,-37.82072699963602,144.97564400041955,17.107,Medium,-37.821,144.976
6891,-37.819816000019664,144.97579800045506,1.173,Low,-37.82,144.976
6569,-37.82123700033718,144.97605500062417,0.978,Low,-37.821,144.976
6782,-37.82174000024072,144.97648100049318,9.677,Low,-37.822,144.976
7415,-37.81936599977215,144.9745279995137,7.82,Low,-37.819,144.975
7255,-37.819428000054245,144.97472399974694,4.79,Low,-37.819,144.975
7942,-37.81936999987052,144.9456230002215,36.559,High,-37.819,144.946
7537,-37.819254999709415,144.97422499984424,3.421,Low,-37.819,144.974
7543,-37.81924699963304,144.97421000037028,3.91,Low,-37.819,144.974
7997,-37.81945400019989,144.94530700012018,71.359,High,-37.819,144.945
7735,-37.81913800003145,144.94650100051743,23.851,Medium,-37.819,144.947
11833,-37.80281700042026,144.97062900062102,0.0,Low,-37.803,144.971
9402,-37.81903899962101,144.94634200038925,27.37,Medium,-37.819,144.946
9751,-37.81161700036586,144.97497599986625,9.286,Low,-37.812,144.975
9947,-37.81164999997272,144.9753850002304,1.369,Low,-37.812,144.975
10233,-37.81376499976063,144.9417610002121,10.948,Medium,-37.814,144.942
10604,-37.81442999971675,144.94033799996805,7.527,Low,-37.814,144.94
9891,-37.81171800038034,144.97489900051897,29.912,Medium,-37.812,144.975
11605,-37.80270899968393,144.97035599967322,8.211,Low,-37.803,144.97
10543,-37.814311999779136,144.94061299973893,2.151,Low,-37.814,144.941
10693,-37.81451800015681,144.94004200033012,12.903,Medium,-37.815,144.94
9563,-37.811265999738886,144.9751830000456,11.73,Medium,-37.811,144.975
13020,-37.80159099971751,144.9724760001845,15.836,Medium,-37.802,144.972
15520,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
15774,-37.80124399997789,144.97027799972295,0.782,Low,-37.801,144.97
16105,-37.8022419997744,144.97009300044903,0.098,Low,-37.802,144.97
14114,-37.80220300022278,144.97168800028763,2.542,Low,-37.802,144.972
